,JobRole,Skills
1,Data Scientist: Artificial Intelligence,"python, data analytics, tableau, data visualization, machine learning algorithms, algorithms, natural language processing, machine learning"
2,Data Scientist,"Data Science, Data Visualization, Data Analytics, Analytics, Data, Science"
3,Data Scientist,"data analytics, natural language processing, data science, strong analytical skills, business solutions, machine learning, artificial intelligence, statistics"
4,Data Scientist,"algorithms, python, modeling, data analysis, data analytics, natural language processing, data mining, predictive"
5,Data Scientist: Artificial Intelligence,"python, data analytics, cloud technologies, tableau, ml, hive, algorithms, data analysis"
6,Data Scientist: Artificial Intelligence,"python, data analytics, artificial intelligence, tableau, ml, hive, algorithms, data analysis"
7,Data Scientist,"Hadoop, Spark, Machine Learning, AWS, azure, Data Science, Big Data Analytics, Data Analytics"
8,Data Scientist: Artificial Intelligence,"python, data analytics, tableau, data visualization, machine learning algorithms, algorithms, natural language processing, machine learning"
9,Data Scientist,"algorithms, python, modeling, data analysis, data analytics, natural language processing, data mining, predictive"
10,Data Scientist,"algorithms, python, modeling, data analysis, data analytics, natural language processing, predictive, machine learning"
11,Lead Data Scientist - Marketing Analytics,"Data Science, Campaign Analytics, Statistical Data Analysis, Marketing Analytics, Model Development, Banking Analytics, Customer Analytics, Python"
12,Data Scientist / Data Analysis,"Data Science, Data Analytics, Python Development, Business Acumen, Problem Solving, Analytics, Analysis, Development"
13,Data Scientist: Artificial Intelligence,"python, data analytics, artificial intelligence, tableau, ml, hive, algorithms, data analysis"
14,Data Scientist,"Data Science, Tensorflow, NLP, PyTorch, architecture design, Natural Language Processing, AI, Statistical Modeling"
15,Data Analyst,"data science, data modelingdata analytics, data analysisdata visualization, communication skills, statistics, Data, Analytics, Data Visualization"
16,Data Engineer,"Data Engineering, data engineer, ETL, Python, SQL, Data Science, GCP, Azure Cloud"
17,ML Engineer / Data Scientist,"algorithms, python, modeling, data analysis, data analytics, natural language processing, predictive, machine learning"
18,Data Analyst,"database maintenance, python, data analytics, data analysis, data mining, predictive analytics, business analysis, power bi"
19,Data Scientist,"algorithms, python, modeling, data analysis, data analytics, natural language processing, predictive, machine learning"
20,Data Scientist,"python, ibm cloud, microsoft azure, microservices, aws, advance sql, data analysis, data analytics"
21,Lead Data Scientist - Predictive Modeling & Machine Learning,"Machine Learning, Data Science, Predictive Modeling, NLP, Data Scientist, Data Analytics, Computer Vision, SQL"
22,Data Scientist,"Artificial Intelligence, Machine Learning, Ml Algorithms, Data Science, Ai Algorithms, Big Data Analytics, Aws Cloud, Cloud Platform"
23,Hiring Data Scientist - Pune,"python, data science, big data analytics, predictive modeling, Data Scientist, machine learning, business intelligence, sql"
24,Data Scientist,"deep learning, data science, Artificial Intelligence, Data collection, Packaging, Data analytics, Python, Testing"
25,Data Scientist,"Data management, data science, Analytical, Banking, Manager Technology, Data quality, Data analytics, Financial services"
26,Data Scientist,"Computer science, Data analysis, SAS, data science, MIS, Analytical, Data analytics, Information technology"
27,Data Scientist,"algorithms, python, modeling, data analysis, data analytics, natural language processing, predictive, machine learning"
28,AI / ML Engineer / Data scientist,"Artificial Intelligence, Kubeflow, Tensorflow, Data Science, Statistical Modeling, MLFlow, Data Mining, Keras"
29,Data Scientist,"algorithms, python, modeling, data analysis, data analytics, natural language processing, predictive, machine learning"
30,Data Scientist,"data science, Data Scientist, Data analytics, Data, Science, Analytics"
31,Data Scientist / Visualizer,"tableau, data science, Data analytics, data visualization, Research, Business intelligence, Advertising, Forecasting"
32,Data Scientist,"algorithms, python, modeling, data analysis, data analytics, natural language processing, predictive, machine learning"
33,Data Scientist: Artificial Intelligence,"python, data analytics, artificial intelligence, tableau, ml, hive, algorithms, data analysis"
34,Data Scientist,"Training, deep learning, data science, Networking, GCP, big data analytics, Machine learning, cloud storage"
35,Data Scientist,"exploration, data analytics, presentation skills, engineering, machine learning, data wrangling, artificial intelligence, communication skills"
36,Data Scientist,"R, MySQL, Python, Data Science, Predictive Modeling, Pricing Analysis, Natural Language Processing, Pricing Analytics"
37,Data Scientist (AI+LLM+ML+Python),"AI, LLM, Machine Learning, Python, Data Science, Natural Language Processing, Deep Learning, Science"
38,Data Scientist,"Operations research, Prototype, Coding, Machine learning, Data analytics, Data mining, SQL, Python"
39,Data Scientist,"algorithms, python, project management, modeling, data analysis, data analytics, preventive maintenance, business solutions"
40,Data Scientist,"Health insurance, Operations research, Analytical, Machine learning, Data analytics, Data mining, Business intelligence, Recruitment"
41,Data Engineer,"Computer science, Automation, data science, Data modeling, Analytical, Machine learning, Data analytics, Data warehousing"
42,Analytics & Data Science Engineer,"Computer science, tableau, Architecture, Pharma, Manager Technology, Healthcare, Data analytics, Information management"
43,Data Analyst,"Data Analysis, Business Tools, Business Intelligence, Power Bi, Analytical Skills, Data Management, Advanced Excel, Statistical Data Analysis"
44,Data Scientist: AI/ML Engineer,"multithreading, rest, python, data analytics, asynchronous apex, kubernetes, openshift, redhat linux"
45,Data Scientist: AI/ML Engineer,"docker, multithreading, python, data analytics, asynchronous apex, kubernetes, openshift, redhat linux"
46,Data Scientist: AI/ML Engineer,"multithreading, rest, python, data analytics, asynchronous apex, kubernetes, openshift, redhat linux"
47,Data Analyst with Python,"insurance, python, sql queries, modeling, data analysis, data analytics, bi, qlik"
48,Data Scientist,"Data Science, Machine Learning, Python, Predictive Modeling, Data Visualization, data scientist, Data Mining, Modeling"
49,Data Engineer,"team management, machine learning, data engineering, deep learning, cognitive, python, cnn, data analytics"
50,Data Analyst,"python, data analysis, data analytics, insights, data mining, predictive analytics, business analysis, power bi"
51,Data Science Engineer,"Data Science, Data Analytics, Machine Learning, Data, Analytics, Machine, Science"
52,Business Analyst,"business analysis, computer system validation, data visualization, statistics, data munging, advanced analytics, python, data analysis"
53,Data Scientist/Data Analyst - LLM,"Computer science, Analytical skills, Data analysis, Artificial Intelligence, Consulting, Data Analyst, Silicon, Data analytics"
54,Data Engineer - Python,"deep learning, Data analysis, data science, Machine learning, HTTP, Natural language processing, Data analytics, Business intelligence"
55,Data Engineer,"data science, Deployment, Data analytics, Taxation, Analytics, Data, Data Engineering, Science"
56,Data Analyst,"data science, Focus, Consulting, IT infrastructure, Programming, Data Analyst, Data analytics, Weaving"
57,Data Analyst,"data science, Focus, Consulting, IT infrastructure, Programming, Data Analyst, Data analytics, Weaving"
58,Business Analyst,"rpa, design documents, data analytics, business requirements, documentation, business analysis, artificial intelligence, process mapping"
59,Fresher - Data Science Engineer,"Automation, data science, Machine learning, HTML, HTTP, Natural language processing, Data analytics, Business intelligence"
60,Data Science Quality Assessment Engineer,"Computer vision, Construction, Web technologies, data science, Machine learning, Manager Technology, Wellness, Data analytics"
61,Data Analyst,"Automation, data science, Life sciences, Data analytics, microsoft, Oracle, Operations, Bioinformatics"
